nIndex=66, start=(352,159), end=(359,0), angle=-87.3770, Dis=224.2145, angle diff=-4.8650
nIndex=67, start=(351,159), end=(355,0), angle=-88.4794, Dis=221.9442, angle diff=-4.1436
nIndex=68, start=(351,159), end=(358,0), angle=-87.1758, Dis=224.2145, angle diff=-4.3448
nIndex=69, start=(356,159), end=(363,0), angle=-87.2037, Dis=224.2145, angle diff=-5.6205
nIndex=70, start=(357,159), end=(377,0), angle=-82.6883, Dis=247.0742, angle diff=-10.1080
nIndex=71, start=(359,159), end=(381,0), angle=-81.8804, Dis=252.2379, angle diff=-15.4313
nIndex=72, start=(359,159), end=(384,0), angle=-81.0059, Dis=260.6756, angle diff=-17.1137
nIndex=73, start=(352,159), end=(380,0), angle=-79.7707, Dis=269.8742, angle diff=-19.2234
nIndex=74, start=(357,159), end=(377,0), angle=-82.7880, Dis=247.0742, angle diff=-17.4413
nIndex=75, start=(357,159), end=(370,0), angle=-85.1537, Dis=232.2830, angle diff=-12.0583
nIndex=76, start=(356,159), end=(374,0), angle=-83.2544, Dis=242.3075, angle diff=-11.5919
nIndex=77, start=(359,159), end=(387,0), angle=-79.7980, Dis=269.8742, angle diff=-16.9476
nIndex=78, start=(360,159), end=(392,0), angle=-78.5117, Dis=283.1936, angle diff=-21.6904
nIndex=79, start=(360,159), end=(394,0), angle=-77.8107, Dis=290.2588, angle diff=-23.6776
nIndex=80, start=(364,159), end=(406,0), angle=-74.8946, Dis=320.7991, angle diff=-27.2947
nIndex=81, start=(367,159), end=(427,0), angle=-69.2656, Dis=399.0813, angle diff=-35.8398
nIndex=82, start=(369,159), end=(581,0), angle=-36.8695, Dis=1195.1029, angle diff=-73.8649
nIndex=83, start=(373,159), end=(603,0), angle=-34.5923, Dis=1293.2405, angle diff=-108.5382
nIndex=84, start=(370,159), end=(578,0), angle=-37.3038, Dis=1173.3309, angle diff=-108.1039
nIndex=85, start=(367,159), end=(592,0), angle=-35.2396, Dis=1265.9552, angle diff=-107.4565
nIndex=86, start=(377,159), end=(595,0), angle=-36.0235, Dis=1227.7871, angle diff=-108.7369
nIndex=87, start=(380,159), end=(631,0), angle=-32.3474, Dis=1408.0161, angle diff=-111.6291
nIndex=88, start=(382,159), end=(616,0), angle=-34.1143, Dis=1315.0813, angle diff=-113.5383
nIndex=89, start=(377,159), end=(634,0), angle=-29.9816, Dis=1440.8553, angle diff=-115.9041
nIndex=90, start=(359,159), end=(634,0), angle=-29.0547, Dis=1539.4765, angle diff=-120.9637
nIndex=91, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=-60.9453
nIndex=92, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
nIndex=93, start=(317,159), end=(316,0), angle=90.0000, Dis=220.9046, angle diff=0.0000
